Machine,Type,VRAM_Adequacy,GPU_Compute_Tier,CPU_Multicore,RAM_Capacity,PSU_Headroom,PCIe_Bottleneck_Risk,PCIe_Slot_Clarity,PSU_Connector_Avail,Intake_Airflow,Thermal_Stability,Second_x16_Usability,Chassis_2nd_GPU,PSU_Wattage_Ceiling,Price_per_GB_VRAM,Enterprise_Pedigree,Warranty_Coverage
Custom_RTX3090_24GB_Tower,Preferred,8,8,7,8,8,8,7,8,8,8,9,9,8,9,5,2
Dell_Precision_T7920_Dual_A5000,Preferred,10,8,10,10,10,10,10,10,10,10,10,10,10,5,10,9
HP_Z8_G4_Workstation_RTX3090,Preferred,8,8,10,10,9,10,10,10,10,10,9,9,9,7,10,9
Used_EVGA_3090_Boutique_Tower,Preferred,8,8,7,6,7,7,5,7,7,7,7,7,7,10,4,3
Mac_Studio_M4_Max_64GB,Special,6,5,8,10,10,10,10,10,10,10,0,0,0,8,8,8
PLE_RTX5070Ti_16GB_Desktop,NeverBuy,5,6,8,5,8,10,6,8,5,5,0,0,5,5,0,9
MSI_RTX4080S_16GB_Prebuilt,NeverBuy,5,8,8,5,7,9,5,7,5,5,0,0,5,5,0,5
Lenovo_Legion_RTX4090_16GB_Laptop,NeverBuy,5,10,9,5,5,5,0,0,0,0,0,0,0,5,0,7
Dell_Alienware_m18_RTX4090_Laptop,NeverBuy,5,10,9,6,5,5,0,0,0,0,0,0,0,3,0,7
MSI_Vector_A18_RTX5070Ti_12GB,NeverBuy,2,6,9,5,5,5,0,0,0,0,0,0,0,4,0,5
RTX4080S_Refurb_MidTower_Generic,Borderline,5,8,7,5,6,7,4,5,6,6,0,0,4,6,0,4
Threadripper_Boutique_No_GPU,Borderline,0,0,10,10,9,10,9,9,9,9,8,8,9,0,6,8
Mac_Mini_M4_Pro_24GB_Unified,Special,4,4,7,4,10,10,10,10,10,10,0,0,0,6,7,8
